      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 24   07:43:31    5318      0   08:11:43    5171      0
 23   07:17:21    6736      0   07:39:18    6633      0
 22   08:41:18    8079      0          -       -      -
 21   03:30:12    7514      0   16:36:09   13134      0
 20   10:50:50    9164      0   11:11:13    8377      0
 19   15:50:32    7089      0       >24h    8826      0
 18   01:12:27    4423      0   11:00:20   10298      0
 17   14:25:31   11433      0          -       -      -
 16       >24h   20942      0          -       -      -
 15   13:33:28   21972      0          -       -      -
 14   07:22:59   16640      0   07:55:17   15888      0
 13   10:42:28   20544      0   10:54:36   19473      0
 12       >24h   35908      0       >24h   35014      0
 11   01:17:01    7293      0   04:37:02   11080      0
 10   00:47:43    8814      0   01:24:14    8507      0
  9   06:50:58   29032      0   08:34:03   24357      0
  8   15:51:40   58868      0   16:14:02   52168      0
  7   14:33:44   49872      0   14:47:58   48036      0
  6   02:37:08   30486      0   02:56:56   31861      0
  5   12:08:26   61833      0   15:06:05   69561      0
  4   03:13:56   27111      0   03:19:06   26127      0
  3       >24h  101145      0       >24h   95652      0
  2       >24h  139763      0       >24h  133634      0
  1       >24h  174958      0       >24h  168431      0
